axis,controls,angle,backend,synthesis_ms,raw_cx,raw_one_qubit,raw_depth,raw_cx_depth,optimized_cx,optimized_one_qubit,optimized_depth,optimized_cx_depth,max_operator_error
rx,2,numeric,core,0.272258,4,6,10,4,4,5,9,4,2.1153413308660057e-16
rx,2,numeric,qiskit,0.033504,8,15,18,8,8,7,13,8,3.298440587052649e-16
rx,2,symbolic,core,0.365394,4,6,10,4,4,6,10,4,3.1401849173675503e-16
rx,2,symbolic,qiskit,0.043104,8,15,18,8,8,9,15,8,3.3306690738754696e-16
rx,3,numeric,core,0.382035,14,24,28,12,14,16,20,12,1.5331320705493272e-15
rx,3,numeric,qiskit,0.069664,20,35,42,20,20,15,29,20,7.610516769633753e-16
rx,3,symbolic,core,0.384211,14,24,28,12,14,20,24,12,1.2780539954372932e-15
rx,3,symbolic,qiskit,0.086401,20,35,42,20,20,21,35,20,4.440892098500626e-16
rx,4,numeric,core,0.433683,24,42,46,18,24,28,34,18,2.3361959382837703e-15
rx,4,numeric,qiskit,0.189521,24,42,46,18,24,28,34,18,2.3361959382837703e-15
rx,4,symbolic,core,0.448979,24,42,46,18,24,36,40,18,2.558937633260452e-15
rx,4,symbolic,qiskit,0.087009,24,42,46,18,24,36,40,18,2.558937633260452e-15
rx,5,numeric,core,0.26325,40,58,70,34,40,48,64,34,2.6801557172297703e-15
rx,5,numeric,qiskit,0.074576,40,58,70,34,40,48,64,34,2.6801557172297703e-15
rx,5,symbolic,core,0.265666,40,58,70,34,40,56,68,34,3.9563492527737815e-15
rx,5,symbolic,qiskit,0.095857,40,58,70,34,40,56,68,34,3.9563492527737815e-15
rx,6,numeric,core,0.350434,56,74,86,38,56,69,76,38,
rx,6,numeric,qiskit,0.089969,56,74,86,38,56,69,76,38,
rx,6,symbolic,core,0.342834,56,74,86,38,56,75,84,38,
rx,6,symbolic,qiskit,0.101105,56,74,86,38,56,75,84,38,
rx,7,numeric,core,0.426562,80,124,176,80,80,88,152,80,
rx,7,numeric,qiskit,0.250914,80,124,176,80,80,88,152,80,
rx,7,symbolic,core,0.934085,80,124,176,80,80,96,156,80,
rx,7,symbolic,qiskit,0.306498,80,124,176,80,80,96,156,80,
rx,8,numeric,core,1.081863,104,174,213,98,104,120,185,98,
rx,8,numeric,qiskit,0.24325,104,174,200,89,104,120,170,89,
rx,8,symbolic,core,1.085719,104,174,213,98,104,128,185,98,
rx,8,symbolic,qiskit,0.315538,104,174,200,89,104,128,170,89,
rx,9,numeric,core,1.210728,120,198,248,112,120,136,213,112,
rx,9,numeric,qiskit,0.253954,120,198,248,108,120,136,209,108,
rx,9,symbolic,core,1.215672,120,198,248,112,120,144,213,112,
rx,9,symbolic,qiskit,0.306066,120,198,248,108,120,144,209,108,
rx,10,numeric,core,1.361704,136,222,293,130,136,152,249,130,
